Yes,No,Response not clear(b),Non-responding,Division,District,Count
52308,32655,252,19410,Sturt,South Australia ,104625
52636,33649,268,27802,Wakefield,South Australia ,114355
51953,25481,194,24466,Brand,Western Australia ,102094
44058,33275,169,24197,Burt,Western Australia ,101699
48486,32019,214,22157,Canning,Western Australia ,102876
44388,31075,184,21330,Cowan,Western Australia ,96977
59638,22943,178,15706,Curtin,Western Australia ,98465
39304,27128,194,31428,Durack,Western Australia ,98054
51612,29285,225,21752,Forrest,Western Australia ,102874
57541,24559,236,19878,Fremantle,Western Australia ,102214
47880,28836,230,19570,Hasluck,Western Australia ,96516
56690,26690,195,16916,Moore,Western Australia ,100491
43554,33987,234,24925,O'Connor,Western Australia ,102700
54305,30699,209,26401,Pearce,Western Australia ,111614
57510,22967,177,19479,Perth,Western Australia ,100133
47225,30060,190,21345,Stirling,Western Australia ,98820
49093,26830,185,21857,Swan,Western Australia ,97965
48338,30090,174,14926,Tangney,Western Australia ,93528
36249,22510,145,15487,Bass,Tasmania ,74391
30054,25573,154,17632,Braddon,Tasmania ,73413
45005,15992,167,13092,Denison,Tasmania ,74256
44746,20322,163,13605,Franklin,Tasmania ,78836
35894,25258,176,17204,Lyons,Tasmania ,78532
19026,15898,106,34854,Lingiari(c),Northern Territory ,69884
29660,15792,123,22642,Solomon,Northern Territory ,68217
89590,31361,281,24399,Canberra(d),Australian Capital Territory ,145631
85869,30159,253,26196,Fenner(e),Australian Capital Territory ,142477
175459,61520,534,50595,Australian,Australian Capital Territory (Total),288108
