Season,Week Start Date,WeekEnd,Deaths,Probable deaths,Confirmed and probable deaths,Cases,Probable cases,Confirmed and probable cases,Last updated
2023-2024,2020-10-18T00:00:00Z,2020-10-24,60,3,63,7063,409,7472,2023-10-19T00:00:00Z
2023-2024,2022-08-14T00:00:00Z,2022-08-20,69,15,84,8027,1047,9074,2023-10-19T00:00:00Z
2023-2024,2020-09-27T00:00:00Z,2020-10-03,32,0,32,4060,239,4299,2023-10-19T00:00:00Z
2023-2024,2021-04-11T00:00:00Z,2021-04-17,66,2,68,11027,1366,12393,2023-10-19T00:00:00Z
2023-2024,2022-07-24T00:00:00Z,2022-07-30,50,9,59,9627,1204,10831,2023-10-19T00:00:00Z
2023-2024,2023-04-23T00:00:00Z,2023-04-29,12,0,12,912,209,1121,2023-10-19T00:00:00Z
2023-2024,2023-10-08T00:00:00Z,2023-10-14,20,6,26,1928,616,2544,2023-10-19T00:00:00Z
2023-2024,2022-10-16T00:00:00Z,2022-10-22,81,21,102,6405,1146,7551,2023-10-19T00:00:00Z
2023-2024,2020-11-29T00:00:00Z,2020-12-05,216,18,234,32436,1473,33909,2023-10-19T00:00:00Z
2023-2024,2022-11-06T00:00:00Z,2022-11-12,82,17,99,4836,956,5792,2023-10-19T00:00:00Z
2023-2024,2021-11-28T00:00:00Z,2021-12-04,130,11,141,30822,2612,33434,2023-10-19T00:00:00Z
2023-2024,2020-10-11T00:00:00Z,2020-10-17,47,8,55,4869,270,5139,2023-10-19T00:00:00Z
2023-2024,2023-06-25T00:00:00Z,2023-07-01,6,0,6,590,247,837,2023-10-19T00:00:00Z
2023-2024,2023-01-29T00:00:00Z,2023-02-04,93,30,123,4578,1100,5678,2023-10-19T00:00:00Z
2023-2024,2020-10-25T00:00:00Z,2020-10-31,59,4,63,8105,468,8573,2023-10-19T00:00:00Z
2023-2024,2023-04-30T00:00:00Z,2023-05-06,13,0,13,905,209,1114,2023-10-19T00:00:00Z
