Yes,No,Response not clear(b),Non-responding,Division,District1,District,Count
44655,29365,224,23348,Oxley,NA,Oxley,97592
53144,33067,200,23323,Petrie,NA,Petrie,109734
41570,34621,237,26119,Rankin,NA,Rankin,102547
64967,24451,162,16223,Ryan,NA,Ryan,105803
46507,37065,319,21645,Wide,Bay,Wide Bay,105536
47109,35812,280,22144,Wright,NA,Wright,105345
1487060,961015,7088,695710,Queensland,(Total),Queensland (Total),3150873
NA,NA,NA,NA,South,NA,NA,NA
NA,NA,NA,NA,South,Australia,South Australia ,NA
62769,26771,217,20477,Adelaide,NA,Adelaide,110234
42498,38827,243,24297,Barker,NA,Barker,105865
62139,28556,234,16919,Boothby,NA,Boothby,107848
40811,35750,260,25327,Grey,NA,Grey,102148
57947,33613,273,20548,Hindmarsh,NA,Hindmarsh,112381
58863,27567,252,20764,Kingston,NA,Kingston,107446
51547,33743,242,21991,Makin,NA,Makin,107523
57361,31247,261,17239,Mayo,NA,Mayo,106108
53649,33869,276,27253,Port,Adelaide,Port Adelaide,115047
52308,32655,252,19410,Sturt,NA,Sturt,104625
52636,33649,268,27802,Wakefield,NA,Wakefield,114355
592528,356247,2778,242027,South,Australia,South Australia (Total),1193580
NA,NA,NA,NA,Western,NA,NA,NA
NA,NA,NA,NA,Western,Australia,Western Australia ,NA
51953,25481,194,24466,Brand,NA,Brand,102094
44058,33275,169,24197,Burt,NA,Burt,101699
48486,32019,214,22157,Canning,NA,Canning,102876
44388,31075,184,21330,Cowan,NA,Cowan,96977
59638,22943,178,15706,Curtin,NA,Curtin,98465
39304,27128,194,31428,Durack,NA,Durack,98054
51612,29285,225,21752,Forrest,NA,Forrest,102874
57541,24559,236,19878,Fremantle,NA,Fremantle,102214
47880,28836,230,19570,Hasluck,NA,Hasluck,96516
56690,26690,195,16916,Moore,NA,Moore,100491
43554,33987,234,24925,O'Connor,NA,O'Connor,102700
54305,30699,209,26401,Pearce,NA,Pearce,111614
57510,22967,177,19479,Perth,NA,Perth,100133
47225,30060,190,21345,Stirling,NA,Stirling,98820
49093,26830,185,21857,Swan,NA,Swan,97965
48338,30090,174,14926,Tangney,NA,Tangney,93528
801575,455924,3188,346333,Western,Australia,Western Australia (Total),1607020
NA,NA,NA,NA,Tasmania,NA,NA,NA
NA,NA,NA,NA,Tasmania,Divisions,Tasmania ,NA
36249,22510,145,15487,Bass,NA,Bass,74391
30054,25573,154,17632,Braddon,NA,Braddon,73413
45005,15992,167,13092,Denison,NA,Denison,74256
44746,20322,163,13605,Franklin,NA,Franklin,78836
35894,25258,176,17204,Lyons,NA,Lyons,78532
191948,109655,805,77020,Tasmania,(Total),Tasmania (Total),379428
NA,NA,NA,NA,Northern,NA,NA,NA
NA,NA,NA,NA,Northern,Territory,Northern Territory ,NA
19026,15898,106,34854,Lingiari(c),NA,Lingiari(c),69884
29660,15792,123,22642,Solomon,NA,Solomon,68217
48686,31690,229,57496,Northern,Territory,Northern Territory (Total),138101
NA,NA,NA,NA,Australian,NA,NA,NA
NA,NA,NA,NA,Australian,Capital,Australian Capital Territory ,NA
89590,31361,281,24399,Canberra(d),NA,Canberra(d),145631
85869,30159,253,26196,Fenner(e),NA,Fenner(e),142477
175459,61520,534,50595,Australian,Capital,Australian Capital Territory (Total),288108
